,state,time,testing,app,ages
187,6,0.057982756057296816,1,0,9
188,6,3.37502066660307,1,0,8
189,1,1.415627775935509,0,0,1
190,7,3.831811647249453,1,0,9
191,6,0.23051681066681382,1,0,3
192,6,3.078035818504803,1,0,8
193,0,10.000611206322946,0,0,6
194,6,1.6065466068558836,1,0,5
195,8,0.5225519112968676,2,0,8
196,5,1.6723075375062348,1,0,3
197,5,0.8753981951089674,1,0,1
198,0,10.000611206322946,0,0,6
199,6,1.4665394641809422,1,0,9
200,0,10.000611206322946,0,0,6
201,7,1.857569514177117,1,0,5
202,6,2.6353869734821473,1,0,9
203,2,1.8462558056781317,0,0,5
204,6,1.9176735905779756,1,0,5
205,7,3.388455695445611,1,0,4
206,0,10.000611206322946,0,0,3
207,8,2.1722320318050876,2,0,3
208,0,10.000611206322946,0,0,4
209,6,0.9553012613830502,1,0,7
210,0,10.000611206322946,0,0,9
211,0,10.000611206322946,0,0,1
212,3,7.978285812128712,1,0,9
213,0,10.000611206322946,0,0,2
214,0,10.000611206322946,0,0,9
215,5,0.6399316369738387,1,0,7
216,2,0.8301433611130268,0,0,9
217,0,10.000611206322946,0,0,4
218,6,0.8803479425772734,1,0,5
219,6,4.010709662889607,1,0,9
220,0,10.000611206322946,0,0,2
221,1,0.06010407640085645,0,0,6
222,5,0.5720493859799277,1,0,6
223,1,0.19304015126392693,0,0,3
224,1,0.4737615433949941,0,0,7
225,0,10.000611206322946,0,0,5
226,6,1.0238906191581476,1,0,8
227,0,10.000611206322946,0,0,6
228,0,10.000611206322946,0,0,4
229,5,1.241679507763612,1,0,7
230,0,10.000611206322946,0,0,4
231,7,2.310117854136426,0,0,7
232,5,1.9721208127293417,1,0,7
233,2,0.049497474683058276,0,0,7
234,1,0.4560838738653298,0,0,4
235,5,0.40517218561989654,1,0,9
236,5,1.7147339443774292,1,0,9
237,0,10.000611206322946,0,0,9
238,3,4.880451003749364,0,0,1
239,2,1.400778533530591,0,0,8
240,8,0.356381817718023,2,0,4
241,1,1.274913526479381,0,0,2
242,6,3.577960312803553,1,0,9
243,0,10.000611206322946,0,0,9
244,6,0.672458548908421,1,0,5
245,0,10.000611206322946,0,0,5
246,0,10.000611206322946,0,0,1
247,2,1.2989551570397244,0,0,9
248,0,10.000611206322946,0,0,7
249,0,10.000611206322946,0,0,3
250,0,10.000611206322946,0,0,5
251,7,2.551948373302158,1,0,5
252,0,10.000611206322946,0,0,9
253,5,1.6270527035102942,1,0,8
254,7,1.3512810588475308,1,0,4
255,0,10.000611206322946,0,0,9
256,2,0.00565685424949238,0,0,6
257,0,10.000611206322946,0,0,8
258,3,5.074198261794546,1,0,5
259,2,2.1785959928357648,0,0,9
260,0,10.000611206322946,0,0,2
261,1,0.26445793616376856,0,0,1
262,0,10.000611206322946,0,0,9
263,7,4.239812259994128,1,0,5
264,0,10.000611206322946,0,0,4
265,6,2.397091988222347,1,0,3
266,0,10.000611206322946,0,0,9
267,6,1.6779643917557274,1,0,9
268,1,1.5174511524263754,0,0,4
269,2,2.2401142827989773,0,0,1
270,6,3.698875572386419,1,0,8
271,2,0.5685138520739949,0,0,8
272,0,10.000611206322946,0,0,6
273,0,10.000611206322946,0,0,8
274,0,10.000611206322946,0,0,3
275,6,0.7940809152725116,1,0,2
276,6,0.059396969619669907,1,0,1
277,0,10.000611206322946,0,0,3
278,1,0.20930360723121746,0,0,8
279,0,10.000611206322946,0,0,6
280,0,10.000611206322946,0,0,7
281,7,1.7147339443774292,1,0,1
282,6,4.445580333319485,1,0,7
283,0,10.000611206322946,0,0,5
284,5,1.7408968952813324,1,0,9
285,2,3.1239977592819157,0,0,7
286,0,10.000611206322946,0,0,8
287,6,0.01838477631085023,1,0,5
288,0,10.000611206322946,0,0,2
289,0,10.000611206322946,0,0,3
290,0,10.000611206322946,0,0,8
291,6,2.59225345982978,1,0,5
292,5,1.198545994111231,1,0,9
293,0,10.000611206322946,0,0,8
294,0,10.000611206322946,0,0,9
295,1,0.3019345955666569,0,0,1
296,0,10.000611206322946,0,0,3
297,5,1.786151729277273,1,0,9
298,7,2.586596605580289,1,0,7
299,6,0.33234018715767955,1,0,6
300,2,0.19445436482630002,0,0,5
301,0,10.000611206322946,0,0,4
302,6,1.8646405819889826,1,0,3
303,2,0.2665792565073283,0,0,9
304,1,1.6807928188804737,0,0,4
305,1,0.35850313806158274,0,0,6
306,6,1.6744288578497946,1,0,4
307,0,10.000611206322946,0,0,7
308,6,3.128240399969034,1,0,9
309,1,1.7012989155348843,0,0,9
310,0,10.000611206322946,0,0,2
311,5,0.3104198769408958,1,0,1
312,7,2.83054844508958,1,0,2
313,6,1.0931870837144317,1,0,1
314,6,0.3804234482783665,1,0,5
315,0,10.000611206322946,0,0,9
316,0,10.000611206322946,0,0,7
317,0,10.000611206322946,0,0,8
318,2,0.014142135623730944,0,0,6
319,1,1.8596908345206766,0,0,8
320,0,10.000611206322946,0,0,7
321,5,1.7649385258416759,1,0,9
322,6,0.8442854967367582,1,0,3
323,7,3.916664460991815,1,0,2
324,0,10.000611206322946,0,0,9
325,0,10.000611206322946,0,0,7
326,6,0.8492352442050642,1,0,3
327,5,1.6426090526963988,1,0,9
328,0,10.000611206322946,0,0,7
329,6,3.0709647506929394,1,0,6
330,6,0.497096067174151,1,0,2
331,0,10.000611206322946,0,0,3
332,0,10.000611206322946,0,0,4
333,1,1.8236283886801614,0,0,9
334,1,0.2757716446627537,0,0,1
335,1,0.9185317087613484,0,0,5
336,0,10.000611206322946,0,0,1
337,0,10.000611206322946,0,0,2
338,0,10.000611206322946,0,0,8
339,6,1.6716004307250483,1,0,6
340,6,1.4481546878700913,1,0,5
341,0,10.000611206322946,0,0,1
342,0,10.000611206322946,0,0,2
343,5,1.0924799769332452,1,0,5
344,5,0.3853731957466725,1,0,8
345,0,10.000611206322946,0,0,9
346,0,10.000611206322946,0,0,2
347,1,0.4716402230514344,0,0,8
348,1,0.19233304448274038,0,0,4
349,6,0.2998132752230972,1,0,9
350,3,5.119453095790501,1,0,2
351,0,10.000611206322946,0,0,4
352,3,8.000206122345503,1,0,7
353,0,10.000611206322946,0,0,9
354,5,0.34223968209429156,1,0,3
355,0,10.000611206322946,0,0,4
356,2,0.9892423868800057,0,0,7
357,6,1.969999492385782,1,0,7
358,3,7.944344686631746,0,0,3
359,6,1.5902831508885924,1,0,6
360,0,10.000611206322946,0,0,1
361,6,4.090612729163714,1,0,4
362,0,10.000611206322946,0,0,4
363,6,4.417296062072014,1,0,2
364,6,1.936765473670013,1,0,3
365,6,4.106876185131011,1,0,9
366,7,2.382242745817434,0,0,3
367,0,10.000611206322946,0,0,2
368,4,6.994700279497881,1,0,7
369,2,0.8831763697020197,0,0,9
370,0,10.000611206322946,0,0,8
371,0,10.000611206322946,0,0,9
372,1,1.8596908345206766,0,0,4
373,0,10.000611206322946,0,0,5
374,2,1.494823735428405,0,0,4
375,0,10.000611206322946,0,0,2
376,6,3.1982439713064825,1,0,4
377,6,0.5678067452928083,1,0,1
378,6,0.08414570696119898,1,0,3
379,0,10.000611206322946,0,0,5
380,1,0.745290547370638,0,0,1
381,1,1.1278353159925738,0,0,4
382,0,10.000611206322946,0,0,7
383,6,0.11596551211459351,1,0,9
384,1,0.11455129855222042,0,0,6
385,1,0.22768838354206763,0,0,9
386,5,0.6795296167202868,1,0,9
387,2,0.0021213203435596424,0,0,1
388,5,1.420577523403815,1,0,4
389,1,1.7500892834367578,0,0,9
390,8,1.728168973219974,2,0,7
391,0,10.000611206322946,0,0,3
392,7,4.460429575724408,1,0,5
393,0,10.000611206322946,0,0,3
394,5,1.552806491485704,1,0,2
395,0,10.000611206322946,0,0,7
396,3,4.760242850947609,1,0,8
397,3,4.559424525090559,1,0,6
398,0,10.000611206322946,0,0,8
399,6,3.1239977592819157,1,0,6
400,8,3.9244426355848647,2,0,3
401,0,10.000611206322946,0,0,3
402,0,10.000611206322946,0,0,3
403,1,0.27789296500631344,0,0,3
404,8,1.9558573567620505,2,0,5
405,0,10.000611206322946,0,0,1
406,0,10.000611206322946,0,0,1
407,0,10.000611206322946,0,0,7
408,6,1.8611050480830498,1,0,6
409,0,10.000611206322946,0,0,9
410,0,10.000611206322946,0,0,8
411,6,2.2648630201404996,1,0,3
412,0,10.000611206322946,0,0,7
413,5,1.88373246508102,1,0,9
414,7,3.208850573024278,1,0,7
415,1,1.3633018741277025,0,0,7
416,5,1.1879393923934325,1,0,6
417,1,0.021213203435596423,0,0,7
418,0,10.000611206322946,0,0,4
419,0,10.000611206322946,0,0,6
420,0,10.000611206322946,0,0,9
421,6,1.5584633457351966,1,0,1
422,1,1.2940054095714184,0,0,2
423,0,10.000611206322946,0,0,8
424,7,3.959090867862996,1,0,8
425,0,10.000611206322946,0,0,1
426,6,0.2460731598529178,1,0,7
427,1,1.1334921702420664,0,0,3
428,6,2.5363920241160582,1,0,9
429,6,2.7662017280016222,1,0,2
430,6,0.08273149339882589,1,0,5
431,0,10.000611206322946,0,0,9
432,0,10.000611206322946,0,0,9
433,5,1.2621856044180226,1,0,5
434,2,0.22061731573020218,0,0,9
435,0,10.000611206322946,0,0,9
436,0,10.000611206322946,0,0,8
437,6,2.6099311293594387,1,0,1
438,6,2.8510545417439843,1,0,6
439,2,0.3019345955666569,0,0,7
440,6,3.4464384515028916,1,0,7
441,1,1.6164461017924956,0,0,1
442,0,10.000611206322946,0,0,3
443,0,10.000611206322946,0,0,9
444,0,10.000611206322946,0,0,9
445,0,10.000611206322946,0,0,1
446,5,0.9998489885978042,1,0,5
447,0,10.000611206322946,0,0,6
448,0,10.000611206322946,0,0,3
449,6,2.723068214349255,1,0,6
450,0,10.000611206322946,0,0,4
451,3,8.000206122345503,1,0,7
452,0,10.000611206322946,0,0,8
453,5,1.1766256838944473,1,0,4
454,6,2.6417509345128245,1,0,8
455,0,10.000611206322946,0,0,6
456,0,10.000611206322946,0,0,4
457,3,6.351940215399084,1,0,8
458,6,1.1943033534241116,1,0,8
459,2,1.0507606768432374,0,0,6
460,1,1.0535891039679837,0,0,8
461,6,2.783879397531281,1,0,6
462,5,1.9205020177027219,1,0,4
463,0,10.000611206322946,0,0,5
464,1,0.09758073580374334,0,0,3
465,2,0.8336788950189596,0,0,6
466,0,10.000611206322946,0,0,9
467,8,2.6254874785455384,2,0,2
468,6,1.3180470401317619,1,0,7
469,0,10.000611206322946,0,0,4
470,6,3.7907994539406444,1,0,3
471,8,2.575990003862494,2,0,5
472,1,1.0055058428472967,0,0,1
473,2,3.312088163077485,0,0,2
474,8,3.6656415536706604,2,0,2
475,7,3.020053062447522,1,0,7
476,6,0.7170062761231751,1,0,5
477,6,4.121018320754747,1,0,4
478,0,10.000611206322946,0,0,4
479,8,3.261883581613254,2,0,5
480,0,10.000611206322946,0,0,2
481,5,0.7382194795587723,1,0,2
482,5,1.4771460658987408,1,0,4
483,8,0.40234375849515025,2,0,2
484,1,0.09899494936611643,0,0,5
485,0,10.000611206322946,0,0,8
486,6,3.493107499061191,1,0,7
487,8,1.1858180720498728,2,0,1
488,6,1.5436141033302786,1,0,4
489,6,1.7062486630031903,1,0,9
490,0,10.000611206322946,0,0,9
491,0,10.000611206322946,0,0,9
492,3,6.983386570998892,1,0,3
493,1,1.0104555903156027,0,0,7
494,2,1.2671353518863286,0,0,9
495,1,0.1456639969244284,0,0,8
496,6,0.5473006486383977,1,0,1
497,0,10.000611206322946,0,0,6
498,0,10.000611206322946,0,0,9
499,5,0.6809438302826599,1,0,8
500,6,2.7966073195926353,1,0,4
501,1,0.8329717882377731,0,0,4
502,1,1.2784490603853138,0,0,2
503,6,3.5991735162391434,1,0,9
504,0,10.000611206322946,0,0,5
505,5,1.3548165927534637,1,0,1
506,1,0.419314321243628,0,0,7
507,0,10.000611206322946,0,0,2
508,6,0.6194255403194281,1,0,7
509,5,1.2508718959190375,1,0,6
510,1,0.725491557497414,0,0,7
511,0,10.000611206322946,0,0,8
512,5,1.630588237416227,1,0,2
513,0,10.000611206322946,0,0,2
514,0,10.000611206322946,0,0,5
515,3,4.6209428150538105,1,0,8
516,0,10.000611206322946,0,0,3
517,6,0.41577878733769513,1,0,5
518,0,10.000611206322946,0,0,3
519,7,4.316179792362302,1,0,1
520,0,10.000611206322946,0,0,4
521,6,0.3288046532517467,1,0,9
522,0,10.000611206322946,0,0,7
523,0,10.000611206322946,0,0,2
524,7,3.6479638841410016,1,0,5
525,5,1.4665394641809422,1,0,5
526,8,1.410678028467203,2,0,5
527,7,1.9784847737600209,1,0,9
528,6,1.5125014049580694,1,0,9
529,6,1.756453244467437,1,0,1
530,2,2.5229569952735176,0,0,2
531,6,4.360020412795883,1,0,5
532,6,0.5939696961967115,1,0,5
533,0,10.000611206322946,0,0,7
534,1,1.8455486988969452,0,0,9
535,5,1.776252234340661,1,0,9
536,0,10.000611206322946,0,0,9
537,0,10.000611206322946,0,0,9
538,7,3.7568583284436996,1,0,7
539,6,0.886004796826766,1,0,9
540,6,0.2863782463805523,1,0,2
541,0,10.000611206322946,0,0,9
542,0,10.000611206322946,0,0,7
543,8,1.625638489947921,2,0,5
544,0,10.000611206322946,0,0,4
545,5,1.6609938290072497,1,0,1
546,3,4.760949957728796,1,0,9
547,7,1.940301007575946,0,0,3
548,0,10.000611206322946,0,0,8
549,0,10.000611206322946,0,0,1
550,2,0.14778531726798805,0,0,2
551,0,10.000611206322946,0,0,9
552,1,0.4949747468305913,0,0,6
553,0,10.000611206322946,0,0,2
554,0,10.000611206322946,0,0,2
555,6,1.786151729277273,1,0,5
556,1,0.7219560235914811,0,0,6
557,6,2.7301392821611183,1,0,6
558,0,10.000611206322946,0,0,9
559,8,2.6997336905701053,2,0,5
560,3,8.000206122345503,0,0,1
561,2,0.2269812767608811,0,0,9
562,0,10.000611206322946,0,0,3
563,6,4.404568140010651,1,0,3
564,0,10.000611206322946,0,0,5
565,8,1.8745400769255947,2,0,6
566,6,1.7493821766555713,1,0,3
567,0,10.000611206322946,0,0,4
568,0,10.000611206322946,0,0,9
569,6,3.277439930799354,1,0,2
570,0,10.000611206322946,0,0,2
571,0,10.000611206322946,0,0,8
572,8,2.804385494185685,2,0,6
573,0,10.000611206322946,0,0,2
574,0,10.000611206322946,0,0,3
575,3,8.000206122345503,1,0,4
576,0,10.000611206322946,0,0,3
577,2,0.30617723625377635,0,0,8
578,6,2.546291519052667,1,0,9
579,0,10.000611206322946,0,0,5
580,0,10.000611206322946,0,0,8
581,6,2.8354981925578846,1,0,4
582,5,1.8780756108315275,1,0,7
583,1,1.4559328624631436,0,0,3
584,0,10.000611206322946,0,0,5
585,0,10.000611206322946,0,0,2
586,0,10.000611206322946,0,0,8
587,1,0.3288046532517467,0,0,2
588,0,10.000611206322946,0,0,3
589,3,7.482603958516769,1,0,1
590,1,1.8101933598376165,0,0,9
591,0,10.000611206322946,0,0,2
592,0,10.000611206322946,0,0,3
593,3,5.241782568935816,1,0,8
594,3,5.564223261156995,1,0,7
595,0,10.000611206322946,0,0,9
